0	0.8	4.077	70.2
0.99	1	4.7	70.9
2.02	1.21	5.31	71.2
3	1.4	5.885	71.7
4.01	1.6	6.48	72.1
5	1.79	7.06	72.9
6	1.98	7.646	74.2
7.01	2.12	8.237	75.3
8.01	2.39	8.826	76.3
9.01	2.55	9.416	77.8
10	2.78	10.01	79.3
11	2.9	10.576	80.6
12	3.1	11.172	82.9
12.99	3.3	11.765	84.5
13.99	3.5	12.365	86.8
15.01	3.7	12.969	88
15.89	3.9	13.505	88.2
16.93	4.1	14.132	90.9
17.92	4.3	14.735	93.4
19	4.5	15.36	95.9
20	4.7	15.97	98.8
