5485	5478	5152	5303	5001	136	142	136	140	138	118	450
21954	21676	21336	21078	20590	226	214	224	224	218	118	32
18403	18431	18589	18287	18386	204	198	200	206	202	118	65
16435	16586	16482	16429	16262	234	230	232	234	230	182	93
13368	12983	12928	12988	12905	218	222	220	218	222	182	143
10029	9972	9923	9855	9886	210	208	216	212	218	182	215
4929	4769	4708	4527	4556	190	186	184	192	194	182	425
16888	16632	16648	16789	16893	234	238	238	236	234	194	141.85
15866	15606	15675	15612	15602	228	232	224	224	226	194	118.11
14378	14433	14363	14471	14439	218	222	218	216	218	194	171.4
12120	12133	12136	12124	12092	212	208	210	204	208	194	198.8
8054	7782	7867	7769	7610	198	194	188	192	186	194	281.1
21982	22140	21800	21800	21800	284	284	282	280	286	174	28.98
20556	20639	20529	20692	20491	272	278	267	272	270	174	33.4
16915	17083	17430	17390	17263	246	240	242	242	242	174	41.02
15676	15776	15676	15679	15676	226	222	220	218	220	174	131.5
13134	12901	12705	12715	12788	202	196	198	200	204	174	218.55
5397	5206	5046	4983	4833	186	176	178	178	184	182	302.1
29115	27212	26447	28982	25995	206	209	201	205	206	102	29
27195	28879	27537	29873	26144	176	175	179	176	172	102	28
24598	25252	29820	26395	30469	218	220	223	215	212	102	28
