22976	22924	22610	22525	22579	136	142	140	136	138	22	18
18583	18679	18586	18710	18850	114	112	110	108	112	22	38.66
16162	16072	16209	16073	15898	88	82	84	76	78	22	84.32
11141	11164	11074	10989	11022	66	58	64	58	62	22	139.2
5484	5469	5528	5552	5541	42	34	30	44	40	22	202.35
22853	22768	22657	22737	22608	134	136	136	136	130	14	33.16
19047	19219	19203	19314	19232	118	110	116	120	110	14	56.78333333
15551	15672	15447	15403	15110	74	78	76	72	70	14	64.73333333
13563	13163	12884	12828	12812	50	46	50	48	54	14	151.3
8164	8353	8220	8190	8159	40	30	42	36	36	14	274.8
21813	21974	21560	21601	21682	132	128	136	130	132	20	19
20260	20594	20388	20306	20281	126	126	130	124	122	24	29
19294	19450	19352	19244	19360	118	114	116	120	116	24	36.66666667
18658	19010	19061	18879	18811	112	110	112	108	114	24	50
9518	9478	9272	9435	9376	50	44	46	52	44	24	270
22879	22662	22721	22604	22573	132	140	142	138	142	22	26
19117	19253	19232	19378	19409	120	118	122	124	120	22	31.66666667
16981	16921	18769	17131	17118	92	94	92	86	96	22	46.66666667
15321	15249	15266	14891	14999	78	80	78	80	76	22	75
11128	11064	11063	11085	11077	66	72	76	72	64	22	200
29115	27212	26447	28982	25995	206	209	201	205	206	102	29
27195	28879	27537	29873	26144	176	175	179	176	172	102	28
24598	25252	29820	26395	30469	218	220	223	215	212	102	28
