2	10	6	100	2	22.485	2.59	0.142662	0.44656	4100	1
2	10	6	100	2.5	22.485	2.36	0.0145844	0.364351	4209	1
2	10	6	100	3	22.49	2.12	-0.107747	0.276052	4314	1
2	10	6	100	3.5	22.49	1.92	-0.233262	0.193653	4426	1
2	10	6	100	4	22.495	1.68	-0.346542	0.123411	4540	1
2	10	6	100	4.5	22.5	1.46	-0.456304	0.0495256	4759	1
2	10	6	100	5	22.51	1.28	-0.569752	-0.0276655	4988	1
2	10	6	100	6	22.52	0.92	-0.803732	-0.167348	5205	1
2	10	6	100	7	22.525	0.59	-1.01645	-0.270769	5426	1
2	13	8	10	0	22.55	0.14	0.0193374	0.034709	1038	1
2	13	8	50	0	22.49	2.3	0.824794	0.808293	2609	1
2	13	8	50	0.5	22.47	2.25	0.52233	0.767931	2665	1
2	13	8	50	1	22.47	2.14	0.365152	0.705459	2775	1
2	13	8	50	1.5	22.47	2.02	0.220076	0.593836	2888	1
2	13	8	50	2	22.47	1.9	0.105416	0.519651	3007	1
2	13	8	50	2.5	22.465	1.77	-0.0209388	0.413256	3111	1
2	13	8	50	3	22.47	1.64	-0.166699	0.35098	3226	1
2	13	8	50	3.5	22.47	1.5	-0.27733	0.276622	3341	1
2	13	8	50	4	22.47	1.37	-0.39816	0.171054	3541	1
2	13	8	50	4.5	22.475	1.24	-0.521169	0.105363	3638	1
2	13	8	50	5	22.475	1.12	-0.616938	0.0432162	3782	1
2	13	8	50	6	22.485	0.87	-0.808007	-0.0881023	3994	1
2	13	8	50	7	22.49	0.62	-1.00882	-0.196888	4252	1
2	13	8	100	0	22.325	6.3	2.12854	1.86456	4289	1
2	13	8	100	0.5	22.3	6.74	1.81855	2.03287	4258	1
2	13	8	100	1	22.295	6.74	1.5709	2.0358	4252	1
2	13	8	100	1.5	22.295	6.54	1.28208	1.95328	4258	1
2	13	8	100	2	22.295	6.12	1.02079	1.82883	4270	1
2	13	8	100	2.5	22.3	5.69	0.777742	1.63274	4296	1
2	13	8	100	3	22.29	5.21	0.565801	1.45259	4302	1
2	13	8	100	3.5	22.295	4.82	0.353468	1.32273	4321	1
2	13	8	100	4	22.3	4.38	0.161753	1.17171	4352	1
2	13	8	100	4.5	22.305	3.95	-0.0116019	1.00284	4393	1
2	13	8	100	5	22.315	3.46	-0.181623	0.81147	4439	1
2	13	8	100	6	22.335	2.5	-0.522689	0.484109	4515	1
2	13	8	100	7	22.355	1.78	-0.808411	0.20117	4563	1
2	13	8	100	8	22.38	0.99	-1.07526	-0.0942829	4591	1
2	13	8	100	9	22.395	0.29	-1.3544	-0.347059	4662	1
2	10	8	10	0	22.215	0.12	0.02112	0.03838	2142	1
