0.17	-0.01	10.46	48.73
2707.91	351.15	10.69	73.9
4588.91	310.03	10.69	52.48
5797.33	201.3	10.92	38.56
6665.43	138.55	11	29.19
7299.52	95	11.08	22.49
7741.36	70.2	11.16	18.21
8004.27	60.47	11.23	16.33
8195.76	32.21	11.23	14.19
8363.54	28.8	11.23	12.58
8490.77	19.4	11.31	11.25
8588.61	15.09	11.23	10.44
8658.63	10.89	11.23	9.64
8709.85	8.01	11.31	9.37
8748.59	6.09	11.31	9.1
8777.7	4.59	11.31	8.84
8799.59	3.46	11.23	8.57
8816.72	2.71	11.31	8.3
8830.35	2.16	11.31	8.3
8842.38	1.91	11.31	8.3
8850.43	1.7	11.31	8.3
8856.09	0.9	11.31	8.03
8861.32	0.83	11.31	8.3
8867.21	0.94	11.31	8.03
8870.82	0.57	11.31	8.03
8874.75	0.63	11.31	8.03
8877.05	0.37	11.31	8.03
8877.71	0.1	11.31	8.03
8877.05	-0.1	11.31	8.03
8877.38	0.05	11.31	8.03
8878.04	0.1	11.31	7.77
8879.02	0.16	11.31	8.03
8880.34	0.21	11.23	7.77
8880.34	0	11.31	8.03
8881.65	0.21	11.31	7.77
8881.65	0	11.31	8.03
8882.97	0.21	11.31	8.03
8885.6	0.42	11.31	8.03
8886.91	0.21	11.31	7.77
8888.23	0.21	11.31	8.03
8888.23	0	11.31	8.03
8887.9	-0.05	11.31	7.77
8889.22	0.21	11.31	8.03
8888.89	-0.05	11.23	8.03
8891.52	0.42	11.31	7.77
8890.21	-0.21	11.31	7.77
8889.55	-0.11	11.31	8.03
8888.23	-0.21	11.31	7.77
