1		4.932
1.51	5.337
2		5.752
2.5		6.157
3		6.626
3.5		7.008
4		7.400
4.5		7.846
5		8.232
5.49	8.631
6.01	9.026
6.48	8.948
7		8.925
7.48	8.993
8		8.943
8.52	8.865
9.02	8.953
9.53	9.254
10.02	9.528
10.52	9.786
10.98	9.913
11.5	10.406
11.99	10.490
12.51	10.463
13.01	10.858
13.52	11.157
13.99	11.355
14.49	11.640
15.01	11.866
