210 !# of panels = #of points-1; x/c, y/c
  0.1000000E+01  0.0000000E+00
  0.9901060E+00 -0.2674000E-02
  0.9801820E+00 -0.5244000E-02
  0.9702320E+00 -0.7715000E-02
  0.9602560E+00 -0.1008800E-01
  0.9502580E+00 -0.1236700E-01
  0.9402400E+00 -0.1455500E-01
  0.9302030E+00 -0.1665400E-01
  0.9201480E+00 -0.1866800E-01
  0.9100790E+00 -0.2060000E-01
  0.8999960E+00 -0.2245100E-01
  0.8899010E+00 -0.2422500E-01
  0.8797960E+00 -0.2592500E-01
  0.8696810E+00 -0.2755200E-01
  0.8595600E+00 -0.2911000E-01
  0.8494310E+00 -0.3060000E-01
  0.8392980E+00 -0.3202600E-01
  0.8291610E+00 -0.3338800E-01
  0.8190200E+00 -0.3469000E-01
  0.8088780E+00 -0.3593400E-01
  0.7987350E+00 -0.3712100E-01
  0.7885910E+00 -0.3825300E-01
  0.7784490E+00 -0.3933300E-01
  0.7683070E+00 -0.4036300E-01
  0.7581680E+00 -0.4134300E-01
  0.7480310E+00 -0.4227600E-01
  0.7378980E+00 -0.4316300E-01
  0.7277680E+00 -0.4400600E-01
  0.7176430E+00 -0.4480600E-01
  0.7075230E+00 -0.4556500E-01
  0.6974090E+00 -0.4628400E-01
  0.6872990E+00 -0.4696400E-01
  0.6771960E+00 -0.4760700E-01
  0.6671000E+00 -0.4821500E-01
  0.6570100E+00 -0.4878700E-01
  0.6469270E+00 -0.4932500E-01
  0.6368510E+00 -0.4983100E-01
  0.6267820E+00 -0.5030500E-01
  0.6167220E+00 -0.5074800E-01
  0.6066690E+00 -0.5116100E-01
  0.5966240E+00 -0.5154600E-01
  0.5865870E+00 -0.5190300E-01
  0.5765590E+00 -0.5223200E-01
  0.5665390E+00 -0.5253500E-01
  0.5565280E+00 -0.5281300E-01
  0.5465250E+00 -0.5306600E-01
  0.5365310E+00 -0.5329500E-01
  0.5265460E+00 -0.5350000E-01
  0.5165700E+00 -0.5368300E-01
  0.5066030E+00 -0.5384400E-01
  0.4966450E+00 -0.5398400E-01
  0.4866970E+00 -0.5410400E-01
  0.4767570E+00 -0.5420300E-01
  0.4668280E+00 -0.5428300E-01
  0.4569070E+00 -0.5434500E-01
  0.4469970E+00 -0.5438800E-01
  0.4370960E+00 -0.5441400E-01
  0.4272040E+00 -0.5442400E-01
  0.4173230E+00 -0.5441700E-01
  0.4074510E+00 -0.5439500E-01
  0.3975900E+00 -0.5435800E-01
  0.3877380E+00 -0.5430600E-01
  0.3778970E+00 -0.5424200E-01
  0.3680660E+00 -0.5416400E-01
  0.3582450E+00 -0.5407500E-01
  0.3484350E+00 -0.5397300E-01
  0.3386350E+00 -0.5386200E-01
  0.3288450E+00 -0.5374000E-01
  0.3190660E+00 -0.5360900E-01
  0.3092970E+00 -0.5346900E-01
  0.2995390E+00 -0.5332200E-01
  0.2897920E+00 -0.5316200E-01
  0.2800540E+00 -0.5298100E-01
  0.2703270E+00 -0.5277900E-01
  0.2606100E+00 -0.5255100E-01
  0.2509020E+00 -0.5229700E-01
  0.2412030E+00 -0.5201400E-01
  0.2315120E+00 -0.5169900E-01
  0.2218280E+00 -0.5134900E-01
  0.2121510E+00 -0.5096200E-01
  0.2024780E+00 -0.5053400E-01
